event_id,image_group_id,image_url_1,image_url_2,image_url_3,image_url_1_bbox,image_url_2_bbox,image_url_3_bbox,count,species_name,blank_image,bboxes,load_date
0,2008329,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2008329_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2008329_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2008329_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2008329_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2008329_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2008329_2C.jpeg,0,blank,TRUE,None,12/5/21
1,2009625,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2009625_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2009625_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2009625_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2009625_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2009625_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2009625_2C.jpeg,0,blank,TRUE,None,12/5/21
2,2010025,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010025_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010025_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010025_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010025_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010025_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010025_2C.jpeg,0,blank,TRUE,None,12/5/21
3,2010778,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010778_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010778_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010778_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010778_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010778_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010778_2C.jpeg,0,blank,TRUE,None,12/5/21
4,2010824,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010824_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010824_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010824_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010824_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010824_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010824_2C.jpeg,0,blank,TRUE,None,12/5/21
5,2010906,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010906_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010906_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2010906_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010906_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010906_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2010906_2C.jpeg,0,blank,TRUE,None,12/5/21
6,2011083,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011083_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011083_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011083_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011083_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011083_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011083_2C.jpeg,0,blank,TRUE,None,12/5/21
7,2011506,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011506_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011506_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011506_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011506_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011506_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011506_2C.jpeg,0,blank,TRUE,None,12/5/21
8,2011578,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011578_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011578_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011578_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011578_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011578_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011578_2C.jpeg,0,blank,TRUE,None,12/5/21
9,2011597,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011597_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011597_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/images/2011597_2C.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011597_0A.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011597_1B.jpeg,https://capstone-trails-cam.s3.us-west-2.amazonaws.com/project/bboximages/2011597_2C.jpeg,0,blank,TRUE,None,12/5/21
